reg,depot,vehicle_type,vor_date,vor_category,vor_sub_category,vor_details,damage_type,covered_under_rm,repair_site,reported_to_supplier,liability,original_expected_return_date,expected_return_date,eta_revision_count,actual_return_date,status,source_vor_term_days,fraikin_view_number
SA23BSS,Crawley,Tractor Unit,2026-02-26,Non-Scheduled Maintenance,Fluid Leak,Sample fluid leak reported at Crawley,Mechanical,0,Sample Repair Site 2,1,Fraikin,2026-03-03,2026-03-03,0,2026-03-03,Returned,5,
SA19JZN,Gravesend,18 Tonne,2026-02-26,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Gravesend,Mechanical,1,Sample Repair Site 3,1,AO,2026-03-10,2026-03-10,0,2026-03-08,Returned,10,
SA22URO,Fareham,Tractor Unit,2026-02-27,Legal Maintenance,MOT & Service,Sample mot & service reported at Fareham,Mechanical,0,Sample Repair Site 2,1,AO,2026-03-01,2026-03-01,0,2026-02-28,Returned,1,
SA23TCW,Crawley,3.5 Tonne,2026-02-27,Non-Scheduled Maintenance,Rear frame damage,Sample rear frame damage reported at Crawley,Body,1,Sample Repair Site 4,1,AO,2026-03-13,2026-03-19,1,2026-03-19,Returned,20,
SA19TKZ,Exeter,3.5 Tonne,2026-03-02,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Exeter,Mechanical,1,Sample Repair Site 1,1,AO,2026-03-08,2026-03-12,1,2026-03-12,Returned,10,FV100742
SA23TSS,Crewe,Conventional Trailer,2026-03-02,Non-Scheduled Maintenance,Box Damage,Sample box damage reported at Crewe,Body,0,Sample Repair Site 10,1,AO,2026-03-09,2026-03-09,0,2026-03-08,Returned,6,FV100769
SA19KHR,Fareham,Tractor Unit,2026-03-03,Vehicle Damage - Crew Recharge,Cosmetic Damage,Sample cosmetic damage reported at Fareham,Body,0,Sample Repair Site 3,0,AO,2026-03-07,2026-03-12,1,2026-03-12,Returned,9,
SA23OFT,Coventry,18 Tonne,2026-03-04,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Coventry,Mechanical,0,Sample Repair Site 7,1,Fraikin,2026-03-07,2026-03-07,0,2026-03-07,Returned,3,
SA22GDW,Fareham,Megatrailer,2026-03-04,Legal Maintenance,MOT & Service,Sample mot & service reported at Fareham,Mechanical,0,Sample Repair Site 10,0,AO,2026-03-05,2026-03-07,1,2026-03-07,Returned,3,
SA21NFS,Crossgreen,18 Tonne,2026-03-05,Vehicle Damage - Crew Recharge,Door Damage,Sample door damage reported at Crossgreen,Body,0,Sample Repair Site 5,1,AO,2026-03-09,2026-03-13,1,2026-03-13,Returned,8,FV100716
SA23TCW,Crawley,3.5 Tonne,2026-03-06,Non-Scheduled Maintenance,Tail Lift,Sample tail lift reported at Crawley,Mechanical,0,Sample Repair Site 1,1,AO,2026-03-11,2026-03-11,0,2026-03-10,Returned,4,FV100771
SA23XWV,Exeter,18 Tonne,2026-03-06,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Exeter,Mechanical,0,Sample Repair Site 6,1,AO,2026-03-12,2026-03-12,0,2026-03-12,Returned,6,
SA21NSP,Crawley,18 Tonne,2026-03-09,Non-Scheduled Maintenance,Ironmongery,Sample ironmongery reported at Crawley,Body,0,Sample Repair Site 11,1,Fraikin,2026-03-12,2026-03-13,1,2026-03-13,Returned,4,
SA25BTB,Potters-Bar,18 Tonne,2026-03-09,Non-Scheduled Maintenance,Gearbox,Sample gearbox reported at Potters-Bar,Mechanical,0,Sample Repair Site 2,1,AO,2026-03-27,2026-04-01,1,2026-04-01,Returned,23,
SA21FTY,Heywood,18 Tonne,2026-03-10,Non-Scheduled Maintenance,Shutter Door,Sample shutter door reported at Heywood,Body,0,Sample Repair Site 8,1,AO,2026-03-14,2026-03-15,1,2026-03-15,Returned,5,
SA22EVO,Exeter,3.5 Tonne,2026-03-10,RTC - AO Liable,Major Damage,Sample major damage reported at Exeter,Body,0,Sample Repair Site 3,1,AO,2026-03-30,2026-04-16,3,2026-04-16,Returned,37,FV100537
SA19MMF,Gravesend,3.5 Tonne,2026-03-11,Legal Maintenance,Inspection,Sample inspection reported at Gravesend,Mechanical,0,Sample Repair Site 12,1,AO,2026-03-12,2026-03-13,1,2026-03-13,Returned,2,
SA22YUS,Luton,Tractor Unit,2026-03-11,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Luton,Mechanical,1,Sample Repair Site 6,1,Fraikin,2026-03-17,2026-03-18,1,2026-03-18,Returned,7,
SA24SHG,Crewe,18 Tonne,2026-03-12,Legal Maintenance,Service Only,Sample service only reported at Crewe,Mechanical,0,Sample Repair Site 6,0,AO,2026-03-13,2026-03-13,0,2026-03-13,Returned,1,
SA21FTY,Heywood,18 Tonne,2026-03-13,Non-Scheduled Maintenance,Brakes,Sample brakes reported at Heywood,Mechanical,0,Sample Repair Site 9,0,Fraikin,2026-03-17,2026-03-17,0,2026-03-16,Returned,3,
SA22XNK,Spennymoor,18 Tonne,2026-03-13,Legal Maintenance,Inspection,Sample inspection reported at Spennymoor,Mechanical,0,Sample Repair Site 5,1,AO,2026-03-14,2026-03-15,1,2026-03-15,Returned,2,
SA23SWN,Newport,18 Tonne,2026-03-16,Non-Scheduled Maintenance,Gearbox,Sample gearbox reported at Newport,Mechanical,0,Sample Repair Site 12,1,AO,2026-04-03,2026-04-03,0,2026-03-23,Returned,7,
SA23PMY,Crossgreen,Hi-Cube,2026-03-16,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Crossgreen,Mechanical,0,Sample Repair Site 4,1,AO,2026-03-19,2026-03-20,1,2026-03-20,Returned,4,
SA25PHP,Gravesend,3.5 Tonne,2026-03-17,RTC - AO Liable,Major Damage,Sample major damage reported at Gravesend,Body,1,Sample Repair Site 11,0,AO,2026-04-06,2026-04-14,2,2026-04-14,Returned,28,
SA23CEV,Yaxley,Hi-Cube,2026-03-17,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Yaxley,Mechanical,0,Sample Repair Site 3,0,Fraikin,2026-03-23,2026-03-23,0,2026-03-23,Returned,6,
SA21NEM,Crossgreen,Conventional Trailer,2026-03-18,Vehicle Damage - Crew Recharge,Minor Damage,Sample minor damage reported at Crossgreen,Body,0,Sample Repair Site 4,1,AO,2026-03-22,2026-03-23,1,2026-03-23,Returned,5,
SA21JDG,Larkhall,3.5 Tonne,2026-03-18,Non-Scheduled Maintenance,Box Damage,Sample box damage reported at Larkhall,Body,1,Sample Repair Site 1,0,Third Party,2026-03-27,2026-03-27,0,2026-03-24,Returned,6,FV100271
SA20YYE,Newport,3.5 Tonne,2026-03-19,Legal Maintenance,Inspection,Sample inspection reported at Newport,Mechanical,1,Sample Repair Site 3,1,AO,2026-03-20,2026-03-20,0,2026-03-20,Returned,1,
SA21SYL,Yaxley,Conventional Trailer,2026-03-19,Legal Maintenance,Service Only,Sample service only reported at Yaxley,Mechanical,0,Sample Repair Site 8,1,AO,2026-03-20,2026-03-20,0,2026-03-20,Returned,1,
SA25EPB,Yaxley,Tractor Unit,2026-03-20,Non-Scheduled Maintenance,Brakes,Sample brakes reported at Yaxley,Mechanical,1,Sample Repair Site 1,1,Fraikin,2026-03-23,2026-03-25,1,2026-03-25,Returned,5,
SA19TEY,Yaxley,Hi-Cube,2026-03-20,Legal Maintenance,Service Only,Sample service only reported at Yaxley,Mechanical,0,Sample Repair Site 2,0,AO,2026-03-21,2026-03-23,1,2026-03-23,Returned,3,
SA22NRD,Larkhall,Tractor Unit,2026-03-23,Legal Maintenance,MOT & Service,Sample mot & service reported at Larkhall,Mechanical,0,Sample Repair Site 5,1,Fraikin,2026-03-25,2026-03-25,0,2026-03-25,Returned,2,FV100268
SA23YJY,Crossgreen,Megatrailer,2026-03-24,Non-Scheduled Maintenance,Fluid Leak,Sample fluid leak reported at Crossgreen,Mechanical,0,Sample Repair Site 4,1,AO,2026-03-29,2026-04-01,1,2026-04-01,Returned,8,
SA22XFO,Dundee,Tractor Unit,2026-03-24,Non-Scheduled Maintenance,Steering,Sample steering reported at Dundee,Mechanical,0,Sample Repair Site 4,1,AO,2026-04-02,2026-04-02,0,2026-03-31,Returned,7,
SA25ARM,Coventry,Hi-Cube,2026-03-25,Non-Scheduled Maintenance,Rear door failure,Sample rear door failure reported at Coventry,Body,0,Sample Repair Site 5,1,AO,2026-03-31,2026-03-31,0,2026-03-30,Returned,5,
SA20RHA,Potters-Bar,Conventional Trailer,2026-03-25,Non-Scheduled Maintenance,Steering,Sample steering reported at Potters-Bar,Mechanical,1,Sample Repair Site 11,1,Third Party,2026-04-01,2026-04-09,2,2026-04-09,Returned,15,
SA21FFU,Crewe,Hi-Cube,2026-03-26,Non-Scheduled Maintenance,Rear door failure,Sample rear door failure reported at Crewe,Body,0,Sample Repair Site 6,1,AO,2026-04-01,2026-04-02,1,2026-04-02,Returned,7,
SA22NUY,Yaxley,3.5 Tonne,2026-03-26,Vehicle Damage - Crew Recharge,Cosmetic Damage,Sample cosmetic damage reported at Yaxley,Body,0,Sample Repair Site 6,1,AO,2026-03-28,2026-03-28,0,2026-03-28,Returned,2,
SA23XWV,Exeter,18 Tonne,2026-03-27,Non-Scheduled Maintenance,Tail Lift,Sample tail lift reported at Exeter,Mechanical,0,Sample Repair Site 2,1,AO,2026-04-02,2026-04-12,2,2026-04-12,Returned,16,
SA22AHT,Crossgreen,Hi-Cube,2026-03-27,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Crossgreen,Mechanical,0,Sample Repair Site 10,1,AO,2026-04-10,2026-04-24,3,2026-04-24,Returned,28,
SA22GDW,Fareham,Megatrailer,2026-03-30,Non-Scheduled Maintenance,Fluid Leak,Sample fluid leak reported at Fareham,Mechanical,0,Sample Repair Site 10,1,Fraikin,2026-04-03,2026-04-10,2,2026-04-10,Returned,11,
SA21NKD,Larkhall,Tractor Unit,2026-03-30,Non-Scheduled Maintenance,Fluid Leak,Sample fluid leak reported at Larkhall,Mechanical,0,Sample Repair Site 8,1,Third Party,2026-04-02,2026-04-03,1,2026-04-03,Returned,4,
SA20VUH,Basildon,18 Tonne,2026-03-31,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Basildon,Mechanical,0,Sample Repair Site 9,1,AO,2026-04-12,2026-04-20,2,2026-04-20,Returned,20,
SA21WBR,Crossgreen,Conventional Trailer,2026-03-31,Legal Maintenance,Inspection,Sample inspection reported at Crossgreen,Mechanical,0,Sample Repair Site 7,1,AO,2026-04-01,2026-04-01,0,2026-04-01,Returned,1,
SA25SMM,Stoke,18 Tonne,2026-04-01,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Stoke,Mechanical,0,Sample Repair Site 3,1,AO,2026-04-13,2026-04-29,3,2026-04-29,Returned,28,
SA19FLR,Newport,Conventional Trailer,2026-04-01,Legal Maintenance,Inspection,Sample inspection reported at Newport,Mechanical,1,Sample Repair Site 1,1,AO,2026-04-02,2026-04-02,0,2026-04-02,Returned,1,
SA22ERH,Heywood,Conventional Trailer,2026-04-02,Non-Scheduled Maintenance,Fluid Leak,Sample fluid leak reported at Heywood,Mechanical,1,Sample Repair Site 7,1,AO,2026-04-07,2026-04-08,1,2026-04-08,Returned,6,FV100116
SA19XOT,Basildon,3.5 Tonne,2026-04-03,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Basildon,Mechanical,0,Sample Repair Site 8,1,AO,2026-04-08,2026-04-08,0,2026-04-06,Returned,3,
SA20OUN,Coventry,Conventional Trailer,2026-04-06,Non-Scheduled Maintenance,Brakes,Sample brakes reported at Coventry,Mechanical,1,Sample Repair Site 11,1,Third Party,2026-04-10,2026-04-11,1,2026-04-11,Returned,5,
SA23OJS,Spennymoor,3.5 Tonne,2026-04-07,Non-Scheduled Maintenance,Gearbox,Sample gearbox reported at Spennymoor,Mechanical,0,Sample Repair Site 2,0,AO,2026-04-24,2026-05-05,2,2026-05-05,Returned,28,
SA22OLZ,Crewe,Conventional Trailer,2026-04-08,Non-Scheduled Maintenance,Rear frame damage,Sample rear frame damage reported at Crewe,Body,0,Sample Repair Site 11,1,AO,2026-04-20,2026-05-17,3,2026-05-17,Returned,39,
SA25HVG,Stoke,Tractor Unit,2026-04-08,Legal Maintenance,Inspection,Sample inspection reported at Stoke,Mechanical,1,Sample Repair Site 3,1,AO,2026-04-09,2026-04-09,0,2026-04-09,Returned,1,
SA19XOT,Basildon,3.5 Tonne,2026-04-09,Non-Scheduled Maintenance,Fluid Leak,Sample fluid leak reported at Basildon,Mechanical,1,Sample Repair Site 5,1,Fraikin,2026-04-12,2026-04-13,1,2026-04-13,Returned,4,
SA24MMZ,Crossgreen,3.5 Tonne,2026-04-09,Legal Maintenance,MOT & Service,Sample mot & service reported at Crossgreen,Mechanical,0,Sample Repair Site 7,1,AO,2026-04-10,2026-04-11,1,2026-04-11,Returned,2,
SA24TVT,Potters-Bar,Conventional Trailer,2026-04-10,Non-Scheduled Maintenance,Floor failure,Sample floor failure reported at Potters-Bar,Body,1,Sample Repair Site 4,1,AO,2026-04-17,2026-04-21,1,2026-04-21,Returned,11,
SA23KNW,Larkhall,Tractor Unit,2026-04-13,Non-Scheduled Maintenance,Clutch,Sample clutch reported at Larkhall,Mechanical,0,Sample Repair Site 8,1,AO,2026-04-22,2026-05-16,3,2026-05-16,Returned,33,
SA21HXJ,Heywood,Tractor Unit,2026-04-14,Non-Scheduled Maintenance,Rear frame damage,Sample rear frame damage reported at Heywood,Body,1,Sample Repair Site 9,0,AO,2026-04-26,2026-05-06,2,2026-05-06,Returned,22,FV100767
SA24YGE,Larkhall,Tractor Unit,2026-04-15,Non-Scheduled Maintenance,Rear frame damage,Sample rear frame damage reported at Larkhall,Body,1,Sample Repair Site 10,1,AO,2026-04-28,2026-04-28,0,2026-04-27,Returned,12,
SA19OVF,Coventry,3.5 Tonne,2026-04-15,Non-Scheduled Maintenance,Rear door failure,Sample rear door failure reported at Coventry,Body,1,Sample Repair Site 1,0,Third Party,2026-04-21,2026-04-28,2,2026-04-28,Returned,13,
SA25ASS,Crossgreen,Tractor Unit,2026-04-16,Legal Maintenance,Inspection,Sample inspection reported at Crossgreen,Mechanical,0,Sample Repair Site 3,1,AO,2026-04-17,2026-04-18,1,2026-04-18,Returned,2,FV100723
SA24FEU,Potters-Bar,Megatrailer,2026-04-17,Non-Scheduled Maintenance,Tail Lift,Sample tail lift reported at Potters-Bar,Mechanical,0,Sample Repair Site 1,1,AO,2026-04-23,2026-04-24,1,2026-04-24,Returned,7,
SA19VTY,Fareham,Megatrailer,2026-04-17,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Fareham,Mechanical,0,Sample Repair Site 8,1,AO,2026-04-19,2026-04-23,1,2026-04-23,Returned,6,
SA24WTN,Yaxley,Hi-Cube,2026-04-20,Legal Maintenance,Inspection,Sample inspection reported at Yaxley,Mechanical,0,Sample Repair Site 8,1,AO,2026-04-21,2026-04-21,0,2026-04-21,Returned,1,
SA22DLG,Avonmouth,Hi-Cube,2026-04-20,Non-Scheduled Maintenance,Rear frame damage,Sample rear frame damage reported at Avonmouth,Body,1,Sample Repair Site 8,1,AO,2026-05-01,2026-05-06,1,2026-05-06,Returned,16,
SA22ULC,Newport,18 Tonne,2026-04-21,Legal Maintenance,Service Only,Sample service only reported at Newport,Mechanical,1,Sample Repair Site 9,1,AO,2026-04-22,2026-04-22,0,2026-04-22,Returned,1,FV100033
SA23BPS,Crossgreen,Tractor Unit,2026-04-21,Vehicle Damage - Crew Recharge,Cosmetic Damage,Sample cosmetic damage reported at Crossgreen,Body,0,Sample Repair Site 11,1,AO,2026-04-24,2026-04-26,1,2026-04-26,Returned,5,FV100109
SA22XYU,Coventry,18 Tonne,2026-04-22,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Coventry,Mechanical,0,Sample Repair Site 3,1,AO,2026-04-24,2026-04-25,1,2026-04-25,Returned,3,FV100403
SA25ZHN,Basildon,18 Tonne,2026-04-23,Non-Scheduled Maintenance,Tail Lift,Sample tail lift reported at Basildon,Mechanical,0,Sample Repair Site 7,1,Third Party,2026-05-01,2026-05-08,2,2026-05-08,Returned,15,
SA23GBJ,Fareham,Conventional Trailer,2026-04-23,Non-Scheduled Maintenance,Steering,Sample steering reported at Fareham,Mechanical,0,Sample Repair Site 10,1,AO,2026-04-29,2026-05-06,2,2026-05-06,Returned,13,
SA25DST,Crewe,3.5 Tonne,2026-04-24,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Crewe,Mechanical,0,Sample Repair Site 6,1,AO,2026-04-26,2026-04-28,1,2026-04-28,Returned,4,FV100058
SA19POX,Crossgreen,18 Tonne,2026-04-24,Non-Scheduled Maintenance,Box Damage,Sample box damage reported at Crossgreen,Body,0,Sample Repair Site 12,1,Fraikin,2026-05-03,2026-05-19,3,2026-05-19,Returned,25,
SA22AHS,Outside HDV Network,Tractor Unit,2026-04-27,Non-Scheduled Maintenance,Floor failure,Sample floor failure reported at Outside HDV Network,Body,1,Sample Repair Site 10,1,Fraikin,2026-05-06,2026-05-12,1,2026-05-12,Returned,15,
SA22BPB,Coventry,3.5 Tonne,2026-04-28,Non-Scheduled Maintenance,Floor failure,Sample floor failure reported at Coventry,Body,1,Sample Repair Site 1,1,AO,2026-05-06,2026-05-11,1,2026-05-11,Returned,13,
SA21NEM,Crossgreen,Conventional Trailer,2026-04-28,Non-Scheduled Maintenance,Rear door failure,Sample rear door failure reported at Crossgreen,Body,0,Sample Repair Site 1,1,AO,2026-05-02,2026-05-19,3,2026-05-19,Returned,21,
SA19LMO,Outside HDV Network,3.5 Tonne,2026-04-29,Non-Scheduled Maintenance,Fluid Leak,Sample fluid leak reported at Outside HDV Network,Mechanical,1,Sample Repair Site 10,1,AO,2026-05-02,2026-05-03,1,2026-05-03,Returned,4,
SA24ZEC,Heywood,Tractor Unit,2026-04-29,Non-Scheduled Maintenance,Fluid Leak,Sample fluid leak reported at Heywood,Mechanical,0,Sample Repair Site 1,1,Fraikin,2026-05-03,2026-05-05,1,2026-05-05,Returned,6,
SA25HVG,Stoke,Tractor Unit,2026-04-30,Non-Scheduled Maintenance,Ironmongery,Sample ironmongery reported at Stoke,Body,1,Sample Repair Site 4,1,AO,2026-05-03,2026-05-03,0,2026-05-02,Returned,2,
SA25EZB,Outside HDV Network,Tractor Unit,2026-05-01,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Outside HDV Network,Mechanical,0,Sample Repair Site 9,1,AO,2026-05-03,2026-05-03,0,2026-05-03,Returned,2,FV100538
SA21PCB,Avonmouth,Tractor Unit,2026-05-04,Non-Scheduled Maintenance,Box Damage,Sample box damage reported at Avonmouth,Body,0,Sample Repair Site 4,1,AO,2026-05-13,2026-05-14,1,2026-05-14,Returned,10,
SA25HSG,Newport,Megatrailer,2026-05-04,Non-Scheduled Maintenance,Fluid Leak,Sample fluid leak reported at Newport,Mechanical,0,Sample Repair Site 6,1,AO,2026-05-08,2026-05-10,1,2026-05-10,Returned,6,
SA21PCB,Avonmouth,Tractor Unit,2026-05-05,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Avonmouth,Mechanical,0,Sample Repair Site 2,1,Fraikin,2026-05-18,2026-05-18,0,2026-05-18,Returned,13,
SA24EGM,Gravesend,3.5 Tonne,2026-05-06,Non-Scheduled Maintenance,Brakes,Sample brakes reported at Gravesend,Mechanical,0,Sample Repair Site 2,0,AO,2026-05-09,2026-05-09,0,2026-05-09,Returned,3,
SA23RMZ,Crawley,Tractor Unit,2026-05-06,Legal Maintenance,Inspection,Sample inspection reported at Crawley,Mechanical,1,Sample Repair Site 11,1,AO,2026-05-07,2026-05-07,0,2026-05-07,Returned,1,
SA19PGR,Fareham,3.5 Tonne,2026-05-07,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Fareham,Mechanical,1,Sample Repair Site 6,0,AO,2026-05-12,2026-05-18,1,2026-05-18,Returned,11,
SA24XSM,Outside HDV Network,Tractor Unit,2026-05-07,Non-Scheduled Maintenance,Rear door failure,Sample rear door failure reported at Outside HDV Network,Body,1,Sample Repair Site 6,1,Fraikin,2026-05-12,2026-05-17,1,2026-05-17,Returned,10,
SA19POB,Crossgreen,Tractor Unit,2026-05-08,Non-Scheduled Maintenance,Gearbox,Sample gearbox reported at Crossgreen,Mechanical,0,Sample Repair Site 4,1,AO,2026-05-25,2026-06-22,3,2026-06-22,Returned,45,
SA22YUS,Luton,Tractor Unit,2026-05-08,Legal Maintenance,Service Only,Sample service only reported at Luton,Mechanical,0,Sample Repair Site 12,1,AO,2026-05-09,2026-05-10,1,2026-05-10,Returned,2,
SA24NGE,Spennymoor,3.5 Tonne,2026-05-11,Non-Scheduled Maintenance,Box Damage,Sample box damage reported at Spennymoor,Body,0,Sample Repair Site 6,1,AO,2026-05-19,2026-06-04,3,2026-06-04,Returned,24,
SA21FUP,Heywood,Tractor Unit,2026-05-12,RTC - AO Liable,Major Damage,Sample major damage reported at Heywood,Body,0,Sample Repair Site 8,1,Fraikin,2026-06-07,2026-06-07,0,2026-06-05,Returned,24,
SA22NVA,Potters-Bar,Hi-Cube,2026-05-12,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Potters-Bar,Mechanical,0,Sample Repair Site 2,0,Fraikin,2026-05-26,2026-05-26,0,2026-05-22,Returned,10,
SA24JAR,Luton,Hi-Cube,2026-05-13,Vehicle Damage - Crew Recharge,Cosmetic Damage,Sample cosmetic damage reported at Luton,Body,0,Sample Repair Site 7,0,AO,2026-05-16,2026-05-23,2,2026-05-23,Returned,10,
SA24HUJ,Dundee,Hi-Cube,2026-05-14,Legal Maintenance,Inspection,Sample inspection reported at Dundee,Mechanical,0,Sample Repair Site 6,1,AO,2026-05-15,2026-05-15,0,2026-05-15,Returned,1,
SA25VTN,Stoke,Tractor Unit,2026-05-15,Legal Maintenance,Service Only,Sample service only reported at Stoke,Mechanical,0,Sample Repair Site 2,1,AO,2026-05-16,2026-05-16,0,2026-05-16,Returned,1,FV100066
SA24KCG,Outside HDV Network,18 Tonne,2026-05-15,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Outside HDV Network,Mechanical,0,Sample Repair Site 9,0,AO,2026-05-28,2026-05-28,0,2026-05-28,Returned,13,
SA25VME,Avonmouth,18 Tonne,2026-05-18,Non-Scheduled Maintenance,Rear frame damage,Sample rear frame damage reported at Avonmouth,Body,0,Sample Repair Site 12,1,AO,2026-06-01,2026-06-01,0,2026-05-29,Returned,11,
SA25BEL,Crossgreen,Conventional Trailer,2026-05-19,Legal Maintenance,Inspection,Sample inspection reported at Crossgreen,Mechanical,1,Sample Repair Site 1,1,AO,2026-05-20,2026-05-21,1,2026-05-21,Returned,2,
SA23OJS,Spennymoor,3.5 Tonne,2026-05-19,Non-Scheduled Maintenance,Box Damage,Sample box damage reported at Spennymoor,Body,0,Sample Repair Site 1,1,AO,2026-05-29,2026-05-29,0,2026-05-28,Returned,9,
SA23PMY,Crossgreen,Hi-Cube,2026-05-20,Non-Scheduled Maintenance,Ironmongery,Sample ironmongery reported at Crossgreen,Body,0,Sample Repair Site 6,0,AO,2026-05-23,2026-05-30,2,2026-05-30,Returned,10,
SA22UPY,Exeter,Conventional Trailer,2026-05-21,Non-Scheduled Maintenance,Gearbox,Sample gearbox reported at Exeter,Mechanical,0,Sample Repair Site 10,1,Fraikin,2026-06-08,2026-06-25,3,2026-06-25,Returned,35,FV100062
SA19TLW,Dundee,Tractor Unit,2026-05-21,Non-Scheduled Maintenance,Brakes,Sample brakes reported at Dundee,Mechanical,0,Sample Repair Site 6,1,Fraikin,2026-05-25,2026-05-28,1,2026-05-28,Returned,7,
SA21FUP,Heywood,Tractor Unit,2026-05-22,Non-Scheduled Maintenance,Box Damage,Sample box damage reported at Heywood,Body,0,Sample Repair Site 2,1,AO,2026-06-02,2026-06-03,1,2026-06-03,Returned,12,
SA25MBX,Exeter,Conventional Trailer,2026-05-22,Vehicle Damage - Crew Recharge,Cosmetic Damage,Sample cosmetic damage reported at Exeter,Body,0,Sample Repair Site 8,1,Third Party,2026-05-24,2026-05-24,0,2026-05-24,Returned,2,
SA21PCB,Avonmouth,Tractor Unit,2026-05-25,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Avonmouth,Mechanical,0,Sample Repair Site 7,1,AO,2026-05-27,2026-05-30,1,2026-05-30,Returned,5,
SA20KDZ,Fareham,Tractor Unit,2026-05-26,Non-Scheduled Maintenance,Box Damage,Sample box damage reported at Fareham,Body,1,Sample Repair Site 2,1,AO,2026-06-02,2026-06-12,2,2026-06-12,Returned,17,
SA24KCG,Outside HDV Network,18 Tonne,2026-05-27,Non-Scheduled Maintenance,Rear frame damage,Sample rear frame damage reported at Outside HDV Network,Body,0,Sample Repair Site 4,1,AO,2026-06-10,2026-06-16,1,2026-06-16,Returned,20,FV100831
SA21CHE,Crossgreen,3.5 Tonne,2026-05-28,Non-Scheduled Maintenance,Brakes,Sample brakes reported at Crossgreen,Mechanical,0,Sample Repair Site 7,1,AO,2026-06-01,2026-06-03,1,2026-06-03,Returned,6,
SA21JRF,Crossgreen,3.5 Tonne,2026-05-28,Non-Scheduled Maintenance,Floor failure,Sample floor failure reported at Crossgreen,Body,1,Sample Repair Site 4,1,Fraikin,2026-06-04,2026-06-09,1,2026-06-09,Returned,12,
SA22LTW,Luton,Tractor Unit,2026-05-29,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Luton,Mechanical,0,Sample Repair Site 8,0,AO,2026-06-03,2026-06-03,0,2026-06-03,Returned,5,
SA22AHT,Crossgreen,Hi-Cube,2026-06-01,Non-Scheduled Maintenance,Box Damage,Sample box damage reported at Crossgreen,Body,0,Sample Repair Site 4,1,Fraikin,2026-06-12,2026-08-05,3,2026-08-05,Returned,65,
SA20JTF,Basildon,Tractor Unit,2026-06-02,Legal Maintenance,MOT & Service,Sample mot & service reported at Basildon,Mechanical,0,Sample Repair Site 6,1,AO,2026-06-03,2026-06-05,1,2026-06-05,Returned,3,
SA24DPH,Luton,Megatrailer,2026-06-03,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Luton,Mechanical,0,Sample Repair Site 2,1,AO,2026-06-14,2026-06-18,1,2026-06-18,Returned,15,
SA21NEM,Crossgreen,Conventional Trailer,2026-06-03,Non-Scheduled Maintenance,Floor failure,Sample floor failure reported at Crossgreen,Body,1,Sample Repair Site 8,1,AO,2026-06-09,2026-06-14,1,2026-06-14,Returned,11,
SA20GDO,Spennymoor,3.5 Tonne,2026-06-04,Non-Scheduled Maintenance,Ironmongery,Sample ironmongery reported at Spennymoor,Body,0,Sample Repair Site 9,1,Fraikin,2026-06-07,2026-06-07,0,2026-06-06,Returned,2,
SA19HNM,Spennymoor,Tractor Unit,2026-06-04,Vehicle Damage - Crew Recharge,Door Damage,Sample door damage reported at Spennymoor,Body,0,Sample Repair Site 10,1,Fraikin,2026-06-10,2026-06-13,1,2026-06-13,Returned,9,
SA25UXO,Crewe,3.5 Tonne,2026-06-05,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Crewe,Mechanical,0,Sample Repair Site 1,1,Third Party,2026-06-07,2026-06-07,0,2026-06-07,Returned,2,
SA22UPY,Exeter,Conventional Trailer,2026-06-08,Non-Scheduled Maintenance,Brakes,Sample brakes reported at Exeter,Mechanical,0,Sample Repair Site 2,1,AO,2026-06-11,2026-06-13,1,2026-06-13,Returned,5,
SA20YCJ,Crossgreen,18 Tonne,2026-06-08,Non-Scheduled Maintenance,Floor failure,Sample floor failure reported at Crossgreen,Body,0,Sample Repair Site 11,0,Fraikin,2026-06-15,2026-06-23,2,2026-06-23,Returned,15,
